Company Name: NVIDIA Corporation

Stock Symbol: NVDA

Date,Open,High,Low,Close
2025-10-24,183.835,187.47,183.5,186.26
2025-10-23,180.42,183.03,179.7901,182.16
2025-10-22,181.14,183.44,176.76,180.28
2025-10-21,182.785,182.785,179.8,181.16
2025-10-20,183.13,185.2,181.73,182.64
2025-10-17,180.18,184.1,179.75,183.22
2025-10-16,182.23,183.28,179.77,181.81
2025-10-15,184.8,184.87,177.29,179.83
2025-10-14,184.77,184.8,179.7,180.03
2025-10-13,187.965,190.1099,185.96,188.32
2025-10-10,193.505,195.62,182.05,183.16
2025-10-09,192.225,195.3,191.06,192.57
2025-10-08,186.57,189.6,186.54,189.11
2025-10-07,186.23,189.06,184.0,185.04
2025-10-06,185.5,187.23,183.33,185.54
2025-10-03,189.19,190.36,185.38,187.62
2025-10-02,189.6,191.05,188.06,188.89
2025-10-01,185.24,188.14,183.9,187.24
2025-09-30,182.08,187.35,181.48,186.58
2025-09-29,180.425,184.0,180.32,181.85
2025-09-26,178.17,179.77,174.93,178.19
2025-09-25,174.48,180.26,173.125,177.69
2025-09-24,179.77,179.78,175.4,176.97
2025-09-23,181.97,182.42,176.21,178.43
2025-09-22,175.3,184.55,174.7053,183.61
2025-09-19,175.77,178.08,175.18,176.67
2025-09-18,173.98,177.1,172.96,176.24
2025-09-17,172.64,173.2,168.41,170.29
2025-09-16,177.0,177.5,174.38,174.88
2025-09-15,175.67,178.85,174.51,177.75
