Company Name: NVIDIA Corporation

Stock Symbol: NVDA

Date,Open,High,Low,Close
2025-10-24,185.24,195.62,176.76,186.26
2025-09-30,170.0,187.35,164.07,186.58
2025-08-29,174.09,184.48,168.801,174.18
2025-07-31,156.29,183.3,151.49,177.87
2025-06-30,135.49,158.71,135.4,157.99
2025-05-30,113.08,143.49,110.822,135.13
2025-04-30,108.515,115.1,86.62,108.92
2025-03-31,123.51,123.7,103.65,108.38
2025-02-28,114.75,143.44,113.01,124.92
2025-01-31,136.0,153.13,116.25,120.07
2024-12-31,138.83,146.54,126.86,134.29
2024-11-29,134.7,152.89,131.8,138.25
